,CustomerName,CustomerID.1,Region,SignupDate,TransactionID,TransactionDate,ProductID,ProductName,Category,Price,TotalValue
39,Aaron Cox,C0010,Europe,2022-12-15,T00136,2024-02-22 18:44:05,P049,TechPro Textbook,Books,147.95,295.9
533,Aaron Cox,C0010,Europe,2022-12-15,T00939,2024-03-29 07:04:02,P081,HomeSense Sweater,Clothing,66.32,198.96
763,Aaron Cox,C0010,Europe,2022-12-15,T00901,2024-05-12 11:53:53,P014,ActiveWear Jacket,Clothing,26.26,105.04
317,Aaron Cox,C0010,Europe,2022-12-15,T00517,2024-11-16 18:14:23,P036,BookWorld Jacket,Clothing,372.55,1117.65
984,Bryan Mathews,C0011,South America,2022-12-12,T00769,2024-02-06 14:46:43,P046,BookWorld Sweater,Clothing,366.07,1464.28
610,Bryan Mathews,C0011,South America,2022-12-12,T00078,2024-03-23 02:59:36,P089,HomeSense Bluetooth Speaker,Electronics,220.91,662.73
689,Bryan Mathews,C0011,South America,2022-12-12,T00822,2024-05-08 18:21:34,P055,BookWorld Biography,Books,128.53,385.59
364,Bryan Mathews,C0011,South America,2022-12-12,T00604,2024-08-10 15:04:27,P030,ActiveWear Cookbook,Books,277.86,277.86
564,Bryan Mathews,C0011,South America,2022-12-12,T00341,2024-12-26 03:09:48,P017,ActiveWear Textbook,Books,469.77,939.54
247,Kevin May,C0012,South America,2024-08-07,T00686,2024-05-12 12:53:40,P003,ComfortLiving Biography,Books,44.12,176.48
76,Kevin May,C0012,South America,2024-08-07,T00158,2024-05-30 03:34:49,P023,ActiveWear Cookware Set,Home Decor,454.53,909.06
210,Kevin May,C0012,South America,2024-08-07,T00023,2024-06-18 10:55:39,P061,HomeSense Desk Lamp,Home Decor,156.96,627.84
120,Kevin May,C0012,South America,2024-08-07,T00094,2024-07-14 19:37:54,P041,ComfortLiving Smartphone,Electronics,456.28,1825.12
604,Kevin May,C0012,South America,2024-08-07,T00353,2024-10-22 21:55:48,P063,TechPro Novel,Books,33.59,33.59
80,Kevin May,C0012,South America,2024-08-07,T00721,2024-12-08 09:46:41,P023,ActiveWear Cookware Set,Home Decor,454.53,1363.59
499,Kevin May,C0012,South America,2024-08-07,T00537,2024-12-25 08:03:34,P074,SoundWave Desk Lamp,Home Decor,295.58,295.58
485,Lauren Buchanan,C0013,South America,2024-05-19,T00484,2024-02-24 20:08:07,P042,ActiveWear Headphones,Electronics,379.44,758.88
847,Lauren Buchanan,C0013,South America,2024-05-19,T00399,2024-03-28 19:16:21,P056,SoundWave Smartwatch,Electronics,16.08,48.24
826,Lauren Buchanan,C0013,South America,2024-05-19,T00627,2024-05-06 23:15:01,P020,ActiveWear Jacket,Clothing,396.34,1585.36
565,Lauren Buchanan,C0013,South America,2024-05-19,T00503,2024-07-26 00:21:59,P017,ActiveWear Textbook,Books,469.77,1879.08
640,Lauren Buchanan,C0013,South America,2024-05-19,T00599,2024-08-15 20:46:42,P015,HomeSense Headphones,Electronics,158.93,158.93
698,Lauren Buchanan,C0013,South America,2024-05-19,T00671,2024-08-23 09:19:16,P064,HomeSense Running Shoes,Clothing,452.42,452.42
319,Lauren Buchanan,C0013,South America,2024-05-19,T00659,2024-11-03 05:30:39,P036,BookWorld Jacket,Clothing,372.55,1117.65
276,Deborah Wilcox,C0014,Europe,2024-06-22,T00524,2024-01-17 18:31:55,P047,ComfortLiving Cookware Set,Home Decor,159.33,318.66
514,Tina Duran,C0015,North America,2023-11-20,T00987,2024-02-10 12:35:35,P032,BookWorld Cookbook,Books,488.63,488.63
948,Tina Duran,C0015,North America,2023-11-20,T00798,2024-09-21 01:39:03,P091,HomeSense Rug,Home Decor,222.95,668.85
414,Emily Woods,C0016,North America,2024-01-03,T00472,2024-07-02 06:30:26,P039,TechPro Smartwatch,Electronics,430.59,430.59
726,Emily Woods,C0016,North America,2024-01-03,T00632,2024-07-11 12:42:08,P083,ActiveWear Smartwatch,Electronics,455.72,455.72
715,Emily Woods,C0016,North America,2024-01-03,T00722,2024-07-31 05:19:54,P018,ComfortLiving Mystery Book,Books,436.89,1747.56
425,Emily Woods,C0016,North America,2024-01-03,T00700,2024-08-15 10:18:31,P016,ActiveWear Running Shoes,Clothing,330.05,330.05
805,Emily Woods,C0016,North America,2024-01-03,T00827,2024-11-10 18:24:04,P080,ActiveWear Jacket,Clothing,303.5,910.5
32,Jennifer King,C0017,Europe,2023-12-05,T00605,2023-12-31 03:27:43,P057,ActiveWear Smartphone,Electronics,239.7,958.8
90,Jennifer King,C0017,Europe,2023-12-05,T00355,2024-01-12 20:20:37,P069,BookWorld Biography,Books,100.81,201.62
545,Jennifer King,C0017,Europe,2023-12-05,T00067,2024-03-31 19:29:30,P096,SoundWave Headphones,Electronics,307.47,614.94
98,Jennifer King,C0017,Europe,2023-12-05,T00685,2024-05-11 17:59:31,P095,BookWorld Cookware Set,Home Decor,227.26,454.52
651,Jennifer King,C0017,Europe,2023-12-05,T00758,2024-05-28 14:47:15,P001,ActiveWear Biography,Books,169.3,507.9
676,Jennifer King,C0017,Europe,2023-12-05,T00321,2024-06-20 04:13:03,P006,ActiveWear Rug,Home Decor,121.32,363.96
475,Jennifer King,C0017,Europe,2023-12-05,T00854,2024-07-14 10:29:11,P059,SoundWave Jeans,Clothing,303.2,303.2
634,Jennifer King,C0017,Europe,2023-12-05,T00921,2024-12-01 22:55:38,P066,SoundWave Textbook,Books,337.22,1348.88
383,Tyler Haynes,C0018,North America,2024-09-21,T00275,2024-02-17 18:50:52,P027,SoundWave Headphones,Electronics,229.06,916.24
44,Tyler Haynes,C0018,North America,2024-09-21,T00551,2024-02-23 13:28:08,P049,TechPro Textbook,Books,147.95,443.85
224,Tyler Haynes,C0018,North America,2024-09-21,T00840,2024-03-28 17:43:38,P061,HomeSense Desk Lamp,Home Decor,156.96,470.88
997,Tyler Haynes,C0018,North America,2024-09-21,T00922,2024-04-05 13:05:32,P037,SoundWave Smartwatch,Electronics,459.86,1839.44
365,Tyler Haynes,C0018,North America,2024-09-21,T00647,2024-08-03 19:15:23,P030,ActiveWear Cookbook,Books,277.86,1111.44
644,Brandon Rodriguez,C0019,Europe,2023-01-12,T00088,2024-01-30 17:23:03,P001,ActiveWear Biography,Books,169.3,338.6
713,Brandon Rodriguez,C0019,Europe,2023-01-12,T00507,2024-05-28 00:57:27,P018,ComfortLiving Mystery Book,Books,436.89,436.89
384,Brandon Rodriguez,C0019,Europe,2023-01-12,T00326,2024-06-14 11:41:17,P027,SoundWave Headphones,Electronics,229.06,687.18
739,Brandon Rodriguez,C0019,Europe,2023-01-12,T00841,2024-07-01 13:07:47,P043,SoundWave Novel,Books,404.4,404.4
932,Brandon Rodriguez,C0019,Europe,2023-01-12,T00219,2024-08-22 23:44:44,P008,BookWorld Bluetooth Speaker,Electronics,146.85,146.85
142,Brandon Rodriguez,C0019,Europe,2023-01-12,T00423,2024-11-08 10:22:51,P054,SoundWave Cookbook,Books,57.3,171.9
549,Mr. Manuel Conway,C0020,North America,2024-06-11,T00350,2024-01-30 00:57:29,P096,SoundWave Headphones,Electronics,307.47,922.41
262,Robert Blanchard,C0021,Asia,2023-04-17,T00069,2024-01-13 00:48:20,P086,SoundWave Novel,Books,440.7,1762.8
376,Robert Blanchard,C0021,Asia,2023-04-17,T00658,2024-01-16 11:22:42,P025,ActiveWear Cookware Set,Home Decor,284.62,284.62
606,Robert Blanchard,C0021,Asia,2023-04-17,T00413,2024-01-24 18:23:07,P063,TechPro Novel,Books,33.59,100.77
641,Robert Blanchard,C0021,Asia,2023-04-17,T00801,2024-02-06 03:27:17,P015,HomeSense Headphones,Electronics,158.93,158.93
208,Robert Blanchard,C0021,Asia,2023-04-17,T00504,2024-04-05 03:20:25,P085,BookWorld Biography,Books,416.35,416.35
594,Robert Blanchard,C0021,Asia,2023-04-17,T00306,2024-06-27 23:39:15,P065,BookWorld Sweater,Clothing,427.61,1282.83
456,Robert Blanchard,C0021,Asia,2023-04-17,T00172,2024-07-14 06:50:22,P072,ActiveWear Headphones,Electronics,399.34,798.68
551,Robert Blanchard,C0021,Asia,2023-04-17,T00610,2024-10-12 03:25:58,P096,SoundWave Headphones,Electronics,307.47,614.94
465,Teresa Esparza,C0022,Asia,2023-10-27,T00284,2024-01-15 07:06:38,P059,SoundWave Jeans,Clothing,303.2,1212.8
600,Teresa Esparza,C0022,Asia,2023-10-27,T00892,2024-04-06 10:33:06,P065,BookWorld Sweater,Clothing,427.61,1710.44
277,Teresa Esparza,C0022,Asia,2023-10-27,T00531,2024-07-10 07:04:02,P047,ComfortLiving Cookware Set,Home Decor,159.33,159.33
978,Teresa Esparza,C0022,Asia,2023-10-27,T00947,2024-08-11 12:13:35,P045,SoundWave T-Shirt,Clothing,481.78,963.56
937,Teresa Esparza,C0022,Asia,2023-10-27,T00757,2024-09-03 03:11:42,P008,BookWorld Bluetooth Speaker,Electronics,146.85,293.7
337,Teresa Esparza,C0022,Asia,2023-10-27,T00404,2024-09-17 15:12:23,P058,ActiveWear Textbook,Books,157.62,315.24
569,Nicholas Cain,C0023,Europe,2022-03-04,T00971,2024-06-22 21:26:26,P017,ActiveWear Textbook,Books,469.77,469.77
127,Nicholas Cain,C0023,Europe,2022-03-04,T00597,2024-07-01 04:53:47,P041,ComfortLiving Smartphone,Electronics,456.28,1368.84
721,Nicholas Cain,C0023,Europe,2022-03-04,T00168,2024-09-26 17:22:30,P083,ActiveWear Smartwatch,Electronics,455.72,1367.16
864,Nicholas Cain,C0023,Europe,2022-03-04,T00451,2024-10-04 20:44:00,P012,ComfortLiving Headphones,Electronics,159.6,638.4
626,Nicholas Cain,C0023,Europe,2022-03-04,T00195,2024-11-02 10:20:14,P066,SoundWave Textbook,Books,337.22,337.22
510,Nicholas Cain,C0023,Europe,2022-03-04,T00513,2024-11-11 10:44:12,P032,BookWorld Cookbook,Books,488.63,977.26
702,Michele Cooley,C0024,North America,2024-02-05,T00999,2024-02-24 12:09:53,P064,HomeSense Running Shoes,Clothing,452.42,452.42
470,Michele Cooley,C0024,North America,2024-02-05,T00674,2024-04-14 01:19:59,P059,SoundWave Jeans,Clothing,303.2,909.6
999,Michele Cooley,C0024,North America,2024-02-05,T00992,2024-04-21 10:52:24,P037,SoundWave Smartwatch,Electronics,459.86,459.86
70,Michele Cooley,C0024,North America,2024-02-05,T00602,2024-04-26 11:26:53,P053,TechPro Rug,Home Decor,274.94,274.94
706,Michele Cooley,C0024,North America,2024-02-05,T00689,2024-05-30 00:00:01,P090,ComfortLiving Biography,Books,165.3,330.6
544,Michele Cooley,C0024,North America,2024-02-05,T00998,2024-06-19 17:52:26,P011,SoundWave Desk Lamp,Home Decor,261.2,522.4
645,Michele Cooley,C0024,North America,2024-02-05,T00314,2024-09-24 17:15:16,P001,ActiveWear Biography,Books,169.3,677.2
747,Gregory Odom,C0025,South America,2022-07-04,T00765,2024-01-31 19:48:04,P035,ActiveWear T-Shirt,Clothing,30.59,30.59
195,Gregory Odom,C0025,South America,2022-07-04,T00434,2024-05-09 03:14:51,P038,TechPro Vase,Home Decor,147.22,588.88
578,Gregory Odom,C0025,South America,2022-07-04,T00608,2024-06-13 22:53:33,P048,TechPro Cookbook,Books,416.4,832.8
436,Gregory Odom,C0025,South America,2022-07-04,T00509,2024-08-13 22:51:21,P022,HomeSense Wall Art,Home Decor,137.54,137.54
294,Sara Miller,C0026,North America,2024-05-03,T00426,2024-03-20 10:30:55,P092,BookWorld Running Shoes,Clothing,389.2,389.2
388,Sara Miller,C0026,North America,2024-05-03,T00787,2024-06-04 00:03:44,P027,SoundWave Headphones,Electronics,229.06,916.24
237,Sara Miller,C0026,North America,2024-05-03,T00958,2024-10-07 21:52:59,P084,ActiveWear Wall Art,Home Decor,337.91,1013.73
557,Sara Miller,C0026,North America,2024-05-03,T00764,2024-10-09 13:52:57,P096,SoundWave Headphones,Electronics,307.47,1229.88
179,Justin Heath,C0027,Asia,2022-11-09,T00993,2024-03-08 09:48:14,P040,SoundWave Mystery Book,Books,153.19,306.38
777,Justin Heath,C0027,Asia,2022-11-09,T00495,2024-04-07 16:46:45,P029,TechPro Headphones,Electronics,433.64,867.28
472,Justin Heath,C0027,Asia,2022-11-09,T00705,2024-06-08 07:23:21,P059,SoundWave Jeans,Clothing,303.2,1212.8
239,Justin Heath,C0027,Asia,2022-11-09,T00025,2024-10-11 21:32:34,P003,ComfortLiving Biography,Books,44.12,176.48
112,Jennifer Pena,C0028,Asia,2024-06-29,T00649,2024-01-23 07:39:44,P062,HomeSense Novel,Books,374.16,1122.48
22,Jennifer Pena,C0028,Asia,2024-06-29,T00003,2024-01-25 14:28:34,P057,ActiveWear Smartphone,Electronics,239.7,958.8
897,Jennifer Pena,C0028,Asia,2024-06-29,T00756,2024-02-15 04:29:17,P028,HomeSense Desk Lamp,Home Decor,235.58,706.74
204,Jennifer Pena,C0028,Asia,2024-06-29,T00330,2024-05-15 10:49:01,P085,BookWorld Biography,Books,416.35,1249.05
480,Jennifer Pena,C0028,Asia,2024-06-29,T00653,2024-07-12 13:17:08,P031,SoundWave Headphones,Electronics,196.4,785.6
797,Jennifer Pena,C0028,Asia,2024-06-29,T00142,2024-08-04 12:38:25,P080,ActiveWear Jacket,Clothing,303.5,1214.0
799,Jennifer Pena,C0028,Asia,2024-06-29,T00171,2024-09-19 03:29:48,P080,ActiveWear Jacket,Clothing,303.5,303.5
34,Jennifer Pena,C0028,Asia,2024-06-29,T00619,2024-12-25 09:53:39,P057,ActiveWear Smartphone,Electronics,239.7,479.4
690,Erin Manning,C0029,North America,2022-04-16,T00850,2024-03-03 06:11:38,P055,BookWorld Biography,Books,128.53,257.06
462,Erin Manning,C0029,North America,2022-04-16,T00131,2024-06-13 02:56:04,P059,SoundWave Jeans,Clothing,303.2,303.2
661,Erin Manning,C0029,North America,2022-04-16,T00277,2024-10-01 17:22:05,P073,ComfortLiving Laptop,Electronics,26.99,107.96
320,Erin Manning,C0029,North America,2022-04-16,T00690,2024-12-26 01:49:16,P036,BookWorld Jacket,Clothing,372.55,1117.65
825,Mark Brock,C0030,North America,2024-01-30,T00263,2024-01-28 04:10:05,P020,ActiveWear Jacket,Clothing,396.34,396.34
757,Mark Brock,C0030,North America,2024-01-30,T00532,2024-04-11 09:53:33,P033,TechPro T-Shirt,Clothing,64.25,192.75
766,Mark Brock,C0030,North America,2024-01-30,T00419,2024-07-12 13:34:04,P004,BookWorld Rug,Home Decor,95.69,287.07
881,Mark Brock,C0030,North America,2024-01-30,T00183,2024-08-24 01:19:18,P005,TechPro T-Shirt,Clothing,429.31,1287.93
685,Mark Brock,C0030,North America,2024-01-30,T00429,2024-12-15 01:23:26,P055,BookWorld Biography,Books,128.53,385.59
756,Tina Miller,C0031,South America,2024-04-11,T00510,2024-03-06 01:55:48,P033,TechPro T-Shirt,Clothing,64.25,257.0
942,Tina Miller,C0031,South America,2024-04-11,T00238,2024-08-11 00:11:15,P091,HomeSense Rug,Home Decor,222.95,445.9
658,Tina Miller,C0031,South America,2024-04-11,T00630,2024-10-08 23:58:14,P093,TechPro Vase,Home Decor,304.94,609.88
841,Tina Miller,C0031,South America,2024-04-11,T00402,2024-11-24 17:22:38,P002,ActiveWear Smartwatch,Electronics,346.3,692.6
86,Dustin Campbell,C0032,South America,2024-04-17,T00187,2024-02-24 09:30:35,P069,BookWorld Biography,Books,100.81,100.81
758,Dustin Campbell,C0032,South America,2024-04-17,T00755,2024-07-12 08:20:42,P033,TechPro T-Shirt,Clothing,64.25,192.75
486,Dustin Campbell,C0032,South America,2024-04-17,T00514,2024-11-27 20:42:52,P042,ActiveWear Headphones,Electronics,379.44,379.44
531,Tyler Holt,C0033,North America,2024-08-04,T00715,2024-07-05 23:41:15,P081,HomeSense Sweater,Clothing,66.32,132.64
596,Dalton Perez,C0034,North America,2023-09-27,T00540,2024-05-08 21:17:10,P065,BookWorld Sweater,Clothing,427.61,855.22
761,Dalton Perez,C0034,North America,2023-09-27,T00207,2024-06-19 02:53:27,P014,ActiveWear Jacket,Clothing,26.26,78.78
386,Dalton Perez,C0034,North America,2023-09-27,T00453,2024-07-10 19:53:08,P027,SoundWave Headphones,Electronics,229.06,916.24
759,Dalton Perez,C0034,North America,2023-09-27,T00905,2024-09-22 00:00:09,P033,TechPro T-Shirt,Clothing,64.25,128.5
57,Dalton Perez,C0034,North America,2023-09-27,T00488,2024-10-21 12:47:53,P087,TechPro Running Shoes,Clothing,290.17,580.34
687,Dalton Perez,C0034,North America,2023-09-27,T00466,2024-10-23 16:57:26,P055,BookWorld Biography,Books,128.53,514.12
322,Brianna Richardson,C0035,North America,2024-10-01,T00036,2024-01-17 12:40:30,P013,BookWorld Smartwatch,Electronics,114.2,114.2
30,Brianna Richardson,C0035,North America,2024-10-01,T00417,2024-04-20 22:54:54,P057,ActiveWear Smartphone,Electronics,239.7,719.1
431,Brianna Richardson,C0035,North America,2024-10-01,T00271,2024-04-29 19:45:24,P022,HomeSense Wall Art,Home Decor,137.54,412.62
288,Brianna Richardson,C0035,North America,2024-10-01,T00447,2024-09-30 17:00:33,P068,TechPro Novel,Books,447.23,1341.69
946,Brian Aguilar DDS,C0036,North America,2024-07-06,T00646,2024-01-23 12:53:51,P091,HomeSense Rug,Home Decor,222.95,668.85
647,Brian Aguilar DDS,C0036,North America,2024-07-06,T00433,2024-05-05 05:01:18,P001,ActiveWear Biography,Books,169.3,338.6
62,Brian Aguilar DDS,C0036,North America,2024-07-06,T00880,2024-11-02 12:20:39,P087,TechPro Running Shoes,Clothing,290.17,870.51
206,Linda Smith,C0037,Europe,2023-02-04,T00435,2024-05-16 16:00:40,P085,BookWorld Biography,Books,416.35,1665.4
628,Linda Smith,C0037,Europe,2023-02-04,T00267,2024-06-30 00:11:05,P066,SoundWave Textbook,Books,337.22,1011.66
498,Linda Smith,C0037,Europe,2023-02-04,T00438,2024-07-15 16:33:41,P074,SoundWave Desk Lamp,Home Decor,295.58,886.74
515,Linda Smith,C0037,Europe,2023-02-04,T00064,2024-09-15 03:50:57,P009,BookWorld Wall Art,Home Decor,325.01,325.01
680,Linda Smith,C0037,Europe,2023-02-04,T00613,2024-09-30 18:17:00,P006,ActiveWear Rug,Home Decor,121.32,363.96
875,Jeffrey Perkins,C0038,North America,2022-04-16,T00805,2024-02-05 18:18:43,P075,TechPro Textbook,Books,497.76,1493.28
854,Jeffrey Perkins,C0038,North America,2022-04-16,T00170,2024-02-29 01:45:41,P082,ComfortLiving Rug,Home Decor,55.99,167.97
141,Jeffrey Perkins,C0038,North America,2022-04-16,T00395,2024-03-14 08:10:08,P054,SoundWave Cookbook,Books,57.3,171.9
889,Jeffrey Perkins,C0038,North America,2022-04-16,T00229,2024-06-29 11:39:11,P028,HomeSense Desk Lamp,Home Decor,235.58,706.74
217,Jeffrey Perkins,C0038,North America,2022-04-16,T00553,2024-12-12 18:55:55,P061,HomeSense Desk Lamp,Home Decor,156.96,156.96
802,Angela Harris,C0039,South America,2024-10-13,T00489,2024-02-13 16:15:35,P080,ActiveWear Jacket,Clothing,303.5,1214.0
381,Angela Harris,C0039,South America,2024-10-13,T00141,2024-07-08 19:55:52,P027,SoundWave Headphones,Electronics,229.06,687.18
542,Angela Harris,C0039,South America,2024-10-13,T00868,2024-09-08 14:32:15,P011,SoundWave Desk Lamp,Home Decor,261.2,1044.8
136,Angela Harris,C0039,South America,2024-10-13,T00053,2024-09-30 14:42:16,P054,SoundWave Cookbook,Books,57.3,171.9
326,Angela Harris,C0039,South America,2024-10-13,T00498,2024-10-27 05:26:27,P013,BookWorld Smartwatch,Electronics,114.2,114.2
444,Angela Harris,C0039,South America,2024-10-13,T00075,2024-10-27 13:50:07,P021,SoundWave Rug,Home Decor,335.84,1007.52
822,Michael Harrell,C0040,Asia,2022-03-07,T00154,2023-12-31 06:53:54,P020,ActiveWear Jacket,Clothing,396.34,1585.36
459,Michael Harrell,C0040,Asia,2022-03-07,T00994,2024-01-06 21:49:35,P072,ActiveWear Headphones,Electronics,399.34,798.68
832,Michael Harrell,C0040,Asia,2022-03-07,T00967,2024-07-19 09:25:20,P020,ActiveWear Jacket,Clothing,396.34,1585.36
47,Lindsey Deleon,C0041,Europe,2023-12-27,T00620,2024-01-05 18:43:06,P049,TechPro Textbook,Books,147.95,591.8
535,Lindsey Deleon,C0041,Europe,2023-12-27,T00066,2024-01-21 22:41:36,P011,SoundWave Desk Lamp,Home Decor,261.2,1044.8
369,Lindsey Deleon,C0041,Europe,2023-12-27,T00074,2024-03-10 02:20:47,P025,ActiveWear Cookware Set,Home Decor,284.62,853.86
16,Lindsey Deleon,C0041,Europe,2023-12-27,T00127,2024-06-03 21:07:56,P034,HomeSense T-Shirt,Clothing,217.05,868.2
263,Lindsey Deleon,C0041,Europe,2023-12-27,T00193,2024-06-10 11:46:13,P086,SoundWave Novel,Books,440.7,1762.8
692,Lindsey Deleon,C0041,Europe,2023-12-27,T00941,2024-07-20 10:39:52,P055,BookWorld Biography,Books,128.53,128.53
963,Lindsey Deleon,C0041,Europe,2023-12-27,T00978,2024-12-15 21:18:12,P098,SoundWave Laptop,Electronics,299.93,899.79
305,Heather Riley,C0042,North America,2023-03-15,T00614,2024-04-28 14:38:55,P076,ActiveWear Jeans,Clothing,429.29,429.29
293,Heather Riley,C0042,North America,2023-03-15,T00410,2024-10-30 12:42:57,P092,BookWorld Running Shoes,Clothing,389.2,1556.8
572,Heather Riley,C0042,North America,2023-03-15,T00298,2024-11-09 20:42:09,P048,TechPro Cookbook,Books,416.4,416.4
401,Sandy Short MD,C0043,Asia,2023-02-05,T00048,2024-04-23 22:46:40,P100,HomeSense Sweater,Clothing,126.34,252.68
